Index Level :;Price
Currency :;USD
;
;
Date;WORLD Standard (Large+Mid Cap) 
Feb 16, 2011;1.352,026
Feb 17, 2011;1.359,682
Feb 18, 2011;1.362,622
Feb 21, 2011;1.358,097
Feb 22, 2011;1.338,118
Feb 23, 2011;1.329,900
Feb 24, 2011;1.327,056
Feb 25, 2011;1.341,300
Feb 28, 2011;1.351,647
Mrz 01, 2011;1.340,888
Mrz 02, 2011;1.337,943
Mrz 03, 2011;1.352,052
Mrz 04, 2011;1.348,436
Mrz 07, 2011;1.338,869
Mrz 08, 2011;1.341,045
Mrz 09, 2011;1.339,582
Mrz 10, 2011;1.313,553
Mrz 11, 2011;1.315,074
Mrz 14, 2011;1.301,314
Mrz 15, 2011;1.271,869
Mrz 16, 2011;1.260,150
Mrz 17, 2011;1.279,695
Mrz 18, 2011;1.287,129
Mrz 21, 2011;1.307,420
Mrz 22, 2011;1.311,008
Mrz 23, 2011;1.311,618
Mrz 24, 2011;1.324,041
Mrz 25, 2011;1.325,852
Mrz 28, 2011;1.321,605
Mrz 29, 2011;1.323,812
Mrz 30, 2011;1.335,975
Mrz 31, 2011;1.334,925
Apr 01, 2011;1.341,445
Apr 04, 2011;1.345,622
Apr 05, 2011;1.343,637
Apr 06, 2011;1.348,861
Apr 07, 2011;1.345,196
Apr 08, 2011;1.351,431
Apr 11, 2011;1.348,647
Apr 12, 2011;1.333,854
Apr 13, 2011;1.338,749
Apr 14, 2011;1.336,540
Apr 15, 2011;1.338,038
Apr 18, 2011;1.316,907
Apr 19, 2011;1.324,452
Apr 20, 2011;1.350,218
Apr 21, 2011;1.360,954
Apr 22, 2011;1.361,028
Apr 25, 2011;1.357,499
Apr 26, 2011;1.366,686
Apr 27, 2011;1.371,376
Apr 28, 2011;1.384,943
Apr 29, 2011;1.388,620
Mai 02, 2011;1.391,863
Mai 03, 2011;1.382,987
Mai 04, 2011;1.371,363
Mai 05, 2011;1.355,452
Mai 06, 2011;1.359,270
Mai 09, 2011;1.353,772
Mai 10, 2011;1.366,365
Mai 11, 2011;1.357,349
Mai 12, 2011;1.351,135
Mai 13, 2011;1.343,166
Mai 16, 2011;1.336,646
Mai 17, 2011;1.329,330
Mai 18, 2011;1.341,984
Mai 19, 2011;1.345,733
Mai 20, 2011;1.336,648
Mai 23, 2011;1.313,693
Mai 24, 2011;1.315,763
Mai 25, 2011;1.320,261
Mai 26, 2011;1.326,960
Mai 27, 2011;1.338,468
Mai 30, 2011;1.338,295
Mai 31, 2011;1.354,607
Jun 01, 2011;1.335,586
Jun 02, 2011;1.325,360
Jun 03, 2011;1.320,113
Jun 06, 2011;1.309,776
Jun 07, 2011;1.311,899
Jun 08, 2011;1.301,837
Jun 09, 2011;1.307,925
Jun 10, 2011;1.288,492
Jun 13, 2011;1.288,486
Jun 14, 2011;1.305,838
Jun 15, 2011;1.283,971
Jun 16, 2011;1.273,561
Jun 17, 2011;1.280,579
Jun 20, 2011;1.281,549
Jun 21, 2011;1.301,774
Jun 22, 2011;1.299,531
Jun 23, 2011;1.281,573
Jun 24, 2011;1.275,448
Jun 27, 2011;1.281,770
Jun 28, 2011;1.296,429
Jun 29, 2011;1.314,000
Jun 30, 2011;1.331,182
Jul 01, 2011;1.343,806
Jul 04, 2011;1.348,178
Jul 05, 2011;1.345,933
Jul 06, 2011;1.341,981
Jul 07, 2011;1.352,385
Jul 08, 2011;1.343,125
Jul 11, 2011;1.314,812
Jul 12, 2011;1.307,279
Jul 13, 2011;1.320,340
Jul 14, 2011;1.310,831
Jul 15, 2011;1.313,169
Jul 18, 2011;1.297,040
Jul 19, 2011;1.316,539
Jul 20, 2011;1.324,115
Jul 21, 2011;1.343,718
Jul 22, 2011;1.348,695
Jul 25, 2011;1.340,939
Jul 26, 2011;1.342,401
Jul 27, 2011;1.318,959
Jul 28, 2011;1.312,625
Jul 29, 2011;1.306,054
Aug 01, 2011;1.297,225
Aug 02, 2011;1.269,437
Aug 03, 2011;1.262,707
Aug 04, 2011;1.208,397
Aug 05, 2011;1.194,049
Aug 08, 2011;1.132,908
Aug 09, 2011;1.164,914
Aug 10, 2011;1.130,331
Aug 11, 2011;1.166,539
Aug 12, 2011;1.180,821
Aug 15, 2011;1.204,800
Aug 16, 2011;1.196,576
Aug 17, 2011;1.200,345
Aug 18, 2011;1.147,862
Aug 19, 2011;1.131,692
Aug 22, 2011;1.131,334
Aug 23, 2011;1.157,748
Aug 24, 2011;1.168,582
Aug 25, 2011;1.154,639
Aug 26, 2011;1.163,018
Aug 29, 2011;1.190,920
Aug 30, 2011;1.196,181
Aug 31, 2011;1.211,224
Sep 01, 2011;1.203,166
Sep 02, 2011;1.175,264
Sep 05, 2011;1.153,568
Sep 06, 2011;1.141,908
Sep 07, 2011;1.173,437
Sep 08, 2011;1.169,618
Sep 09, 2011;1.134,677
Sep 12, 2011;1.122,684
Sep 13, 2011;1.134,649
Sep 14, 2011;1.145,071
Sep 15, 2011;1.169,474
Sep 16, 2011;1.176,026
Sep 19, 2011;1.156,534
Sep 20, 2011;1.161,938
Sep 21, 2011;1.137,175
Sep 22, 2011;1.089,333
Sep 23, 2011;1.094,923
Sep 26, 2011;1.109,430
Sep 27, 2011;1.140,156
Sep 28, 2011;1.122,446
Sep 29, 2011;1.129,698
Sep 30, 2011;1.104,065
Okt 03, 2011;1.074,812
Okt 04, 2011;1.074,496
Okt 05, 2011;1.096,162
Okt 06, 2011;1.123,846
Okt 07, 2011;1.126,152
Okt 10, 2011;1.156,539
Okt 11, 2011;1.159,277
Okt 12, 2011;1.175,708
Okt 13, 2011;1.169,207
Okt 14, 2011;1.186,399
Okt 17, 2011;1.171,840
Okt 18, 2011;1.177,541
Okt 19, 2011;1.174,970
Okt 20, 2011;1.166,921
Okt 21, 2011;1.194,330
Okt 24, 2011;1.211,885
Okt 25, 2011;1.195,813
Okt 26, 2011;1.200,429
Okt 27, 2011;1.250,822
Okt 28, 2011;1.254,203
Okt 31, 2011;1.217,296
Nov 01, 2011;1.174,773
Nov 02, 2011;1.189,295
Nov 03, 2011;1.206,762
Nov 04, 2011;1.203,067
Nov 07, 2011;1.204,973
Nov 08, 2011;1.215,688
Nov 09, 2011;1.180,592
Nov 10, 2011;1.178,919
Nov 11, 2011;1.205,460
Nov 14, 2011;1.194,555
Nov 15, 2011;1.191,204
Nov 16, 2011;1.178,948
Nov 17, 2011;1.162,670
Nov 18, 2011;1.157,500
Nov 21, 2011;1.130,984
Nov 22, 2011;1.127,249
Nov 23, 2011;1.102,892
Nov 24, 2011;1.099,840
Nov 25, 2011;1.097,810
Nov 28, 2011;1.132,349
